gene,score
RCBTB2,0.9496461023758308
SLC40A1,0.9488541588908721
RGS5,0.9488338004465287
ANKRD20A2,0.9487978338615219
GCOM1,0.9485175659443944
THEM4,0.948082573850257
CAPN5,0.9478437014366274
ERCC6,0.9475966856452611
ASPN,0.9474915003494871
COX7A2L,0.9474026018091873
CYP3A7,0.9471976601361308
PRR18,0.9471820519954666
TNFAIP8,0.9471752658473525
ANKRD18A,0.9470863673070532
SUSD2,0.9468929620857903
PLD4,0.9468047421603033
NMD3,0.946802706315868
CCDC80,0.9462007749781146
KANSL1,0.945953080571937
CMTM4,0.9450973472947017
CDH23,0.9446698199634902
PLCD3,0.9441303211883905
CBS,0.9441086055144243
CD163,0.9439912051520443
C3orf58,0.9437849062493637
PVALB,0.9435772501170614
TYMS,0.9433994530364626
IL18,0.9433268412516378
ITGA11,0.9432087622744458
ABCA8,0.9432087622744455
FA2H,0.9431673667709474
VWA1,0.9431375077192432
PCDHGA10,0.942997713068086
ZNF492,0.9429006711500485
ZNF599,0.9424025678784469
SLC47A2,0.9422383430940766
TOR3A,0.9421440156352856
EIF3L,0.9420924409096155
MAN2A1,0.942085654761501
TMEM26,0.941925501666
PGA3,0.941792493162956
CLDN11,0.9417164883040736
PMM2,0.9414531857572324
CD22,0.9410779117665022
SEPT9,0.9408919713081662
TRIL,0.9408607550268395
CDK11A,0.9407080666942641
PBXIP1,0.940470551510257
C2CD2,0.9403321140887222
GEMIN4,0.940025380193948
GAB1,0.9396229616107599
C1orf174,0.9394621299004473
CUEDC1,0.9393922325748684
COL18A1,0.9391988273536063
SLC25A24,0.9389592763251651
UPP2,0.9389504543326158
FIGN,0.9389131305179863
STX8,0.9386328626008592
TBX18,0.9383763462021325
ZNF541,0.9382474093879573
SELL,0.9377825582421164
PDZD9,0.9374744671177196
NYNRIN,0.9374167848587465
GLYCTK,0.9373848899626084
HAPLN2,0.9372098073412548
GALNT7,0.9371114081935954
PPP1R42,0.9368990017576126
TSPAN8,0.9368623565577946
SPTY2D1-AS1,0.936611947692371
CCDC138,0.9363540740640208
PAQR9,0.9362909628865559
C4orf46,0.936148453776152
SALL2,0.9360717703024591
ITM2C,0.9357745370150449
THSD7A,0.9357684294817423
SPDYE2,0.9357548571855132
MAP6,0.935385690728086
CAPG,0.935355831676382
PLEKHH1,0.9352377526991902
SFRP1,0.9349540917080061
DNAL1,0.9347016469981471
AK8,0.9345733887987845
CLEC18B,0.9345571020433096
TBC1D4,0.9344573456660263
FAM151B,0.9342456178448554
HHIPL1,0.9341743632896531
TCEA3,0.9339660285425393
C14orf178,0.9337237630548534
PPP3R2,0.9335025346263209
CHADL,0.9333389884567622
ABCA2,0.9331713705983345
RGS10,0.9331218317170988
HRC,0.9330777217543548
ARMC3,0.9329691433845239
ANKRD49,0.9326176209121938
RNASE6,0.9320916944333227
KITLG,0.9320258687966128
ANGPT1,0.9317259210499528
SPECC1L,0.9316587381836191
SLC16A8,0.9314320808365965
LOXL3,0.9312101737932532
SOCS6,0.9310982023493649
AKAP3,0.9310601999199242
SLC6A13,0.9307785747731728
PIBF1,0.930635387047958
ADAT3,0.9305016999301033
PRR19,0.9300334557102043
PTPN21,0.9298101914372384
RTKN,0.929741651341282
AATK,0.9294783487944408
RAB32,0.9294315243724516
USP53,0.9293921647133868
FOXD4L3,0.9293561981283804
SLC11A1,0.9289008475898998
BCAR3,0.928560182954553
ITGA10,0.9281699794379709
MED16,0.9281577643713654
P2RY14,0.9280858312013515
SERINC4,0.9280057546536012
TTLL5,0.9279589302316116
SULT1A4,0.9277872406843153
TMEM8A,0.9275130803004908
C15orf41,0.92737667872339
DIRC3,0.9273257826125316
AMN,0.9266118798308897
ZBTB42,0.926400152009718
ANKRD18B,0.9262494995215769
CAV1,0.9262481422919536
PLEKHG3,0.9261816380404321
NLRC4,0.9260757741298471
FOXD4L4,0.9256977856798705
PTPRJ,0.9256163519024966
PKD2L2,0.9254100529998169
FRA10AC1,0.9253584782741469
ST3GAL1,0.9249594527650162
RNLS,0.9249363798614265
PDYN,0.9246181095148582
SSFA2,0.9245251392856899
RNF103-CHMP3,0.9245217462116334
C2orf72,0.924510209759838
NIPAL4,0.9244715287155852
ANAPC15,0.9240989691841013
CLDN15,0.9240487516880546
TRIM59,0.9238994564295364
PIK3R5,0.9238831696740614
NAGLU,0.923832273563203
KLHL13,0.9235703282459842
C20orf196,0.9232154126995981
ABCC11,0.923165873818362
ABT1,0.92287881975312
DCTN5,0.9228727122198173
GSTO2,0.9227899212128209
ZFP69B,0.9227729558425345
SLC37A2,0.9226874503762923
IDE,0.9221886684898783
FZD6,0.9221357365345858
WASF3,0.9221208070087334
KIF4A,0.9219810123575757
BEND7,0.9219742262094612
GPR82,0.9219043288838823
SLC23A3,0.9218133944991485
ARHGAP15,0.9216145603593945
ABHD14B,0.9215887729965597
MIEN1,0.9213553295014216
IFT122,0.9212392863686645
MSRB3,0.9212358932946068
ANKRD50,0.920928480785022
RERGL,0.9208144734966985
LSP1,0.9207194674230964
PCDHGA7,0.9204921314612616
ACBD6,0.919952632686161
LANCL2,0.9198250531016092
PHLDB1,0.9197653349982013
IGSF22,0.9195094972142857
MSTO1,0.9194619941774845
ANGPTL7,0.9193669881038828
CYTL1,0.9193479868891622
ARMC4,0.9192821612524515
PLAU,0.9190032505649465
MS4A6A,0.9189258884764422
CNTN2,0.9188715992915263
PYCARD,0.9187250184922539
ZDHHC7,0.9186605500851663
TRADD,0.9182845974796249
TRPM3,0.9182825616351906
DEPDC7,0.9181733046505476
FLT3,0.9181319091470492
MAGED4B,0.9180280810808978
IL13RA1,0.9179778635848499
EEF2K,0.9178163532597261
ARSF,0.9176548429346019
MUC5B,0.9175815525349661
LGALS1,0.9175571224017539
BRCA2,0.9172849978623635
CHSY3,0.9170678411227001
PRMT6,0.9169511193751314
EBF3,0.9167000318948965
PABPN1,0.9165453077178866
ANKHD1-EIF4EBP3,0.9165276637327888
TFR2,0.9163559741854925
KCNK13,0.9162704687192509
RGPD1,0.9162168581491463
PCDHGA9,0.9161876777122545
ATAD3A,0.9160370252241122
F10,0.9159148745580524
BAALC,0.9155586017820428
EEF1A1,0.9154907403008974
ZHX1-C8orf76,0.9148582712966293
CXCL2,0.9145942901349766
AMOT,0.9144748539281611
DUS3L,0.9143174152919059
CAB39L,0.9141884784777314
IZUMO1,0.9141694772630111
FBXO3,0.9140161103156236
CPAMD8,0.9138532427608762
KSR1,0.9138145617166243
KIF20B,0.9136958041246205
LRRC37B,0.9136883393616947
PODNL1,0.9136354074064024
CNKSR3,0.9133707476299376
ELOVL1,0.913021261002043
CFAP57,0.9124254371975928
TCF19,0.9124206868939124
PEX3,0.9123752197015449
LCN12,0.9123663977089966
TRAF1,0.9123392531165383
LYRM1,0.9123345028128583
C3orf67,0.9121234536064992
SLC52A2,0.9119049396372125
AMY2A,0.9118581152152233
SSC5D,0.9117977184970044
GNMT,0.9117169633344424
DNAJC17,0.9116375654015026
WDR55,0.9114611255505264
WLS,0.9110437774414865
IL20RB,0.910842228842487
RPS6KA5,0.9107153278727462
SMYD2,0.9106861474358537
YWHAB,0.9105069931256319
ZNF730,0.9099749591134575
RGPD2,0.90984466506966
ACTR8,0.9097028345740672
CSNK2A3,0.9094775344566679
CGN,0.9094537829382663
KLHL34,0.9094151018940142
IFNLR1,0.9092128746802026
SRRD,0.9091029390807484
ZNF468,0.9089169986224122
ZNF641,0.9088511729857017
KL,0.908602799964712
ZNF714,0.9085736195278193
MYL9,0.908013083693565
RSU1,0.907902469479299
TIE1,0.9076846341248246
SPP1,0.9073141104377738
KLHL6,0.9072876444601279
SYNE3,0.9068879403361858
CRYAB,0.9068485806771223
ZNF711,0.906771218588617
FZD7,0.9066049579598126
