gene,score
PINLYP,0.9389674197029028
CD99,0.9388052307629668
SERF1A,0.9387190466819136
HECW2,0.938418420320442
GTF2H1,0.938257588610129
TXK,0.9382243364843681
ITGB4,0.9382141572621968
COL6A2,0.9381395096329377
KIF15,0.9378531341825068
MYL9,0.9372417022373929
HIST1H3D,0.937194877815404
PCDHGA6,0.9368304616616564
POLR2F,0.9367293480547509
ANTXR1,0.9367293480547503
OLR1,0.9366187338404848
ESRP2,0.9365651232703809
SPRY1,0.9362387095460748
ARHGAP10,0.9361627046871925
RYR3,0.9361294525614317
AKAP2,0.9360683772284015
LOXL3,0.9360643055395323
LRCH1,0.936052090472927
WIPI1,0.9359258681179982
CDRT4,0.935706675533901
CD109,0.9356347423638869
PDE11A,0.9350796354481232
TOP1MT,0.9349846293745211
COLEC12,0.9347396494275885
HSPB7,0.9347328632794741
JADE1,0.9345177423842458
ARMC3,0.9344268079995114
LILRB4,0.934377269118276
ARHGAP1,0.9342720838225017
ABT1,0.9342619046003302
ANKRD53,0.9340881792085997
LILRA6,0.9340013165127347
PSMG4,0.9339701002314079
MMD,0.9338717010837478
ZNF626,0.9338058754470374
PYROXD2,0.9337651585583506
CSDC2,0.933472675574617
MRPL1,0.9330865437469038
MUSK,0.9329861087548103
RPL9,0.932795417992794
VASH2,0.9326413724305948
HSPA1L,0.9325368657496316
CD55,0.9321249465590836
PDE5A,0.9320353694039728
HRC,0.9319247551897072
PMM2,0.9317992114495895
ASTN2,0.9317014909167413
TRAPPC12,0.9315664465692629
SPATA5,0.9313370747629937
TMEM2,0.9312997509483639
PCIF1,0.9309448354019777
SLC6A9,0.9308050407508195
C3orf67,0.9307778961583617
PBXIP1,0.9307188566697656
COX7A2L,0.9306856045440051
LSP1,0.9306828900847592
FAM46B,0.9304114441601802
HTR2B,0.930349011597527
CCDC158,0.9302567199831707
PIPOX,0.9299655942290596
LPIN1,0.9298923038294237
TMEM88B,0.9298861962961205
PCDHGA10,0.9296547886454174
HIST1H1D,0.9295041361572757
WASF3,0.9293331252247906
TMC1,0.9293107309360137
ZNF816,0.9291919733440103
TOMM22,0.9291648287515524
ZNF584,0.9287264435833577
LRRC63,0.9281910164971263
GDPGP1,0.9281197619419241
PHYHD1,0.9279589302316117
TRDMT1,0.9279304284095304
FZD6,0.9277512740993089
C3orf58,0.9275965499222986
TMCO6,0.9274696489525583
CCDC141,0.9274499691230261
CKLF-CMTM1,0.9273522485901778
ABCC3,0.9270217631770032
RASL12,0.9269695098365215
ACAN,0.9269647595328416
CCDC34,0.926847359170461
EYS,0.9266729551639198
PLEKHG4,0.9265915213865461
BRPF1,0.9263506131284822
HTR3B,0.925867439382732
FAM155B,0.9258613318494294
PIBF1,0.9255932789989073
NPIPB6,0.9255037018437966
ESPN,0.9253360839853696
SLC16A12,0.9251128197124034
TAGLN,0.9250714242089045
SOX10,0.9248881982098144
METTL24,0.9248474813211275
PDLIM3,0.9246255742777842
MSRB3,0.9245556769522045
PAPSS2,0.924090147191553
NARS2,0.9239863191254019
NPY1R,0.9239720682143605
CDCP1,0.9239598531477545
SSRP1,0.9237854491412133
SSC5D,0.9236402255715636
SH2D1B,0.9229086788048236
CDK11A,0.9228727122198174
FIGN,0.9228713549901941
TM6SF1,0.9225775147768372
ATP6V1E2,0.9222958896300876
STX8,0.9222633161191379
SMN2,0.9221316648457171
ZNF557,0.9215860585373132
MARC1,0.9213139339979236
P2RY11,0.9212338574501733
PRKAR2B,0.9211585312061021
CCDC3,0.921130707998833
DENND2D,0.9210241654734357
PLIN1,0.9210194151697554
SERP2,0.9206271758087393
POLD3,0.9203509795804805
TFR2,0.9203312997509481
CLEC18B,0.9202485087439524
ARID3B,0.9201121071668514
C11orf70,0.9200259230857967
TBC1D4,0.9200116721747567
CNN1,0.9200103149451339
KCNJ5,0.9193384862818016
RRP15,0.9190629686683538
NINJ2,0.9188892432766235
PLEKHH1,0.9185465427968434
TMEM241,0.918409462604931
RGS6,0.9183714601754901
DKK3,0.9180497967548639
CBX5,0.9180294383105203
TNFAIP8,0.9172096716182931
P2RY2,0.9171933848628183
PIFO,0.9171248447668621
ACTL10,0.9171146655446901
DDAH2,0.916642349635923
TNKS1BP1,0.9163654747928526
ZNF599,0.9162996491561428
ZNF100,0.9162535033489646
PLCXD1,0.9161103156237485
NYNRIN,0.9160451686018505
ARID4A,0.9159881649576885
DCLK3,0.9159467694541898
ZFHX2,0.9157336844033958
TAS2R20,0.9156841455221605
ECM2,0.9155694596190257
HHIPL1,0.9155586017820424
GAB1,0.915527385500716
ADGRD1,0.9153638393311572
IFT46,0.9153414450423795
ZMYND19,0.9150611771252519
ZNF879,0.914967528281272
SSPN,0.914944455377683
LYRM1,0.9149213824740937
PRR18,0.9147401923194377
TOR3A,0.9146445076310237
TUBB6,0.9146350070236633
RPRM,0.9145834322979938
CPO,0.914518285276094
LY96,0.9145114991279798
TRERF1,0.9139855726491085
FURIN,0.9138898879606945
WDR31,0.9138077755685092
CLDN10,0.9134101072890016
ANKHD1-EIF4EBP3,0.9133110295265309
GIPR,0.9133028861487937
SARM1,0.9133028861487924
