gene,score
FAM196B,0.931350647059223
HIST2H3C,0.9313167163186508
OAS1,0.9312318894672195
PSMG4,0.9308735808467754
CD99,0.9305539532705835
KCNMB4,0.9301827509687227
GPATCH4,0.9300958882728576
GGA2,0.9300551713841709
ARL17A,0.929500743083219
PILRA,0.9293887716393301
MS4A7,0.9292686568177043
TMEM256-PLSCR3,0.9291539709145695
ZBTB16,0.929151256455324
TBC1D4,0.9286789405465566
GPX2,0.9279100699651875
THEM5,0.9276243731295687
LRRIQ3,0.9275022224635078
MED23,0.9272972807904506
EPHB6,0.927224669005626
HDHD3,0.9271792018132585
PER2,0.9270326210139863
ADAM20,0.9268270007261182
ALOX15B,0.92668720607496
GPR65,0.9265073731499265
FUT7,0.9262712151955432
NPLOC4,0.9253516921260323
FAM72A,0.9249988124240802
ABCC4,0.9248949843579286
CYTL1,0.9246377893443909
PMM2,0.9244613494934144
EVI2B,0.9241960111021387
IGFALS,0.9240188926363513
IL18,0.9235805074681561
GAS2L3,0.9230844400409892
FAM150B,0.9223216769929218
CEACAM19,0.9220536241424009
CCDC80,0.9220359801573033
PAXIP1,0.9219749048242724
RBM44,0.9215752007003312
TGFBI,0.9213919747012401
ANO6,0.921212820391018
RSPH10B,0.9211239218507186
PCDHGA1,0.9210703112806143
KLHL6,0.9201657177369557
STH,0.9201345014556298
CLEC18B,0.9197789072944313
CCDC158,0.9195651436288254
OTOS,0.9194307778961588
PER1,0.9191491527494076
DND1,0.9189530330689003
PCDHGA2,0.918594724448456
ZNF185,0.9185010756044766
UBQLN4,0.9179541120664501
TICAM2,0.9173637171804921
SIGLEC11,0.9172734614105688
GRB10,0.9172232439145215
HTR1F,0.9168859723532327
ABCC3,0.9167169972651831
ETV4,0.9164964474514625
MAN1A1,0.9164516588739066
FBXW12,0.9160926716386518
RGS6,0.9160879213349713
CSGALNACT1,0.9160153095501464
PCDHGA6,0.9159413405356988
ZNF618,0.9156495361667762
SLC47A2,0.9155809960708207
HMBOX1,0.9155558873227967
EFCAB10,0.9155436722561904
GP6,0.9155314571895846
BMP2K,0.9154561309455138
SULT1C2,0.9152491534280232
PHYHD1,0.914715083571414
CTDSPL,0.914523714194586
HOGA1,0.9145169280464712
AVEN,0.9144531382541955
MS4A14,0.9142074796924526
HLA-DRA,0.9135906188288467
POLR1B,0.9133307093560628
KIF4A,0.9126276644114041
C2orf72,0.9125618387746929
C6orf118,0.9124077932124947
TGFBR2,0.9121967440061347
LRRC63,0.9120583065846
ATP6AP1L,0.9113993716026849
ARHGAP15,0.9112500763441657
MSR1,0.910984737952891
SSH1,0.9108612300572071
FSCN3,0.9108123697907835
TRIM22,0.9107553661466212
CTXN3,0.9105891055178172
FLI1,0.9102301182825618
TNC,0.9102029736901038
ANKRD39,0.9100136401577098
HECW2,0.909850093988151
ASTN2,0.9098066626402193
GATC,0.909666867989061
IFNAR2,0.9094463181753408
TFCP2L1,0.9088823892670288
PRR19,0.9087772039712543
TRIM35,0.9087330940085099
ZNF669,0.9086116219572613
ZNF584,0.9079682951160093
NWD1,0.907955401434592
FAM212B,0.907485121370259
SATB1,0.9074796924517673
JADE1,0.9074620484666701
PELI1,0.907004662083755
CCDC138,0.9069177993878896
METTL7B,0.9069062629360948
MLXIP,0.90687572526958
NPIPB5,0.9067026784926608
TNFRSF10D,0.9066361742411387
GSDMD,0.906502487123284
MAP3K7CL,0.9064380187161969
FAM229A,0.9062480065689916
CDC42EP3,0.9059256645335537
CD180,0.9055110308837605
JADE2,0.9054377404841241
ACSF3,0.9053142325884406
SRRD,0.9051561153373732
DSE,0.9049267435311044
PLA1A,0.9048812763387379
PRX,0.9043852089115698
CDCP1,0.9041117271425574
CHDH,0.9037188091667293
DOCK9,0.9035240467158436
VASH2,0.9034290406422413
WIPI1,0.9033129975094838
PDE8B,0.9031345218140732
TNKS1BP1,0.9030306937479218
RHBDL3,0.9028501822080772
NXN,0.9027884282602351
LRRC37A,0.9027205667790903
LATS1,0.9024470850100775
EPHA1,0.9021946403002197
IP6K2,0.901726396080321
METTL24,0.9015994951105809
NPIPB6,0.9015777794366143
GALNT4,0.901442735089136
PLA2G4B,0.901269009697406
DR1,0.9012554374011766
GDPD2,0.9012086129791872
PICK1,0.9010471026540624
DACT1,0.9009839914765985
HLA-DMB,0.9008218025366623
MSRB2,0.9004594222273494
PCYT1B,0.9004288845608347
SLC35E2B,0.9002856968356195
PLCXD1,0.9001255437401176
LIN37,0.8999396032817811
HIST1H4H,0.8998995650079058
TMEM64,0.8997414477568387
KITLG,0.899738054682781
ARL17B,0.8995785802020918
NAPSA,0.8994998608839638
MYH15,0.8992745607665632
TEX26,0.898795458709682
PDE6B,0.8987757788801499
ZNF337,0.8986454848363519
PCIF1,0.8986271622364433
BHMT2,0.8984656519113189
POC1B,0.898360466615544
CLEC18A,0.8978535413513941
RRP15,0.8976207764710673
ACSM5,0.89729843443563
ZNF781,0.8972061428212733
TPCN2,0.897204785591651
C10orf67,0.8967813299493077
GTDC1,0.8965696021281362
SLC13A4,0.8962038287447661
IFT122,0.8961047509822953
CMTM3,0.8960905000712546
LPIN1,0.8960389253455846
DENND2D,0.895940526197925
NPFF,0.8959384903534906
DIRC3,0.8956935104065583
HDAC5,0.8956602582807973
PTPN21,0.8954458160003802
TYMS,0.8953338445564911
LINC00493,0.8952809126011984
TRAF5,0.8951865851424075
ERVMER34-1,0.8951702983869326
ELF1,0.8948459205070614
STARD8,0.8948018105443171
NKAPL,0.8947760231814822
CCDC97,0.8947400565964752
BAIAP2L2,0.8941801993770315
RPL36AL,0.8939766149335977
RPS6KA5,0.8939379338893453
TCEB2,0.8939121465265104
FAM166A,0.8934893694989792
POLD3,0.8933441459293292
SAP30,0.893312929648002
MARC1,0.8928955815389629
FAM111A,0.8928949029241513
EPHA8,0.8928392565096128
SIRT3,0.8926329576069324
ZNF605,0.8926030985552296
RCC2,0.8922542905421457
C14orf178,0.8921871076758124
RASSF4,0.8918953033068897
SNX33,0.8918511933441458
PRODH,0.8915939983306076
ZNF687,0.8913795560501908
MYBPC1,0.8912316180212949
ART3,0.8912099023473289
LTC4S,0.8911983658955347
SPRY1,0.8911718999178878
TAS2R19,0.8907647310310197
PIPOX,0.8907260499867672
EMP3,0.8905930414837238
NMUR2,0.8902462693150747
TIFA,0.8902191247226166
HLA-DPB1,0.8894400749190747
FURIN,0.8893233531715069
FES,0.889201202505446
ZNF641,0.8887919977741436
SEC14L2,0.8886983489301638
PROX2,0.8886963130857296
SLC16A8,0.8885653404271201
MED21,0.88856534042712
CALML4,0.888437082227757
TRMT10B,0.8882674285248952
ABHD14B,0.8881927808956362
DGKG,0.8881792085994068
PPP1R1C,0.8880210913483396
RASL12,0.8879885178373902
SLC9A8,0.8879206563562465
PLEKHH2,0.8878826539268052
FAM107A,0.8877116429943197
AKAP2,0.8876274947577004
ELOVL7,0.8874558052104045
PPARG,0.8870493149383479
SNRNP27,0.8870153841977763
BTNL2,0.8866048222368503
C12orf73,0.8861657584538445
BCLAF1,0.8857144796042324
MICB,0.8851519079255429
ANKRD36,0.8851044048887411
GLB1,0.8849225361192732
CAPS,0.8849069279786101
CDK3,0.884885890919455
TUBB6,0.8848729972380373
SLC22A25,0.8847596685645263
