gene,all-related_score,abeta-related_score,tau-related_score,CERAD_score,BRAAK_score,PLAQUES_score,TANGLES_score,ABETA_IHC_score,TAU_IHC_score
ERVMER34-1,0.94116715,0.91412582,0.96820848,0.895170298,0.955132025,0.98120712,0.977410949,0.866000041,0.972082465
DKK3,0.941114557,0.915561769,0.966667345,0.87439247,0.957988314,0.918049797,0.959415441,0.954243039,0.98259828
SALL2,0.941074406,0.943919724,0.938229087,0.9361946,0.883179853,0.959492803,0.944366479,0.93607177,0.987140928
PDE5A,0.940734646,0.920228603,0.961240689,0.844378694,0.964593951,0.932035369,0.970954607,0.984271745,0.948173508
NYNRIN,0.94071474,0.898632591,0.982796888,0.84243582,0.965824958,0.916045169,0.986551212,0.937416785,0.996014495
MS4A14,0.940667689,0.965877664,0.915457714,0.91420748,0.901852618,0.987875868,0.879351109,0.995549644,0.965169416
GEMIN7,0.939507032,0.975004807,0.904009256,0.966680013,0.862582537,0.996009066,0.884191668,0.962325342,0.965253564
ARSF,0.937514958,0.91934301,0.955686905,0.881690972,0.920603424,0.958683216,0.97398123,0.917654843,0.972476062
UPP2,0.937334786,0.924580559,0.950089012,0.860425899,0.952600113,0.974365325,0.96131692,0.938950454,0.936350002
HLA-DMB,0.937280836,0.916019607,0.958542064,0.900821803,0.970070372,0.960805244,0.962894699,0.886431775,0.94266112
WLS,0.937037552,0.939712991,0.934362113,0.959499589,0.911448232,0.948595607,0.922492009,0.911043777,0.969146099
IFT122,0.936577791,0.928978662,0.944176919,0.896104751,0.960398075,0.969591949,0.952696476,0.921239286,0.919436207
PDLIM3,0.935714819,0.918358114,0.953071524,0.852039577,0.968016884,0.924625574,0.966427568,0.978409191,0.924770119
ARL17A,0.935630784,0.872951997,0.998309571,0.929500743,0.997990622,0.723167231,0.999415713,0.966188017,0.997522377
ADRA1A,0.935577173,0.93643121,0.934723136,0.866690192,0.927409931,0.978329115,0.934641929,0.964274323,0.94211755
RAB32,0.934818482,0.943068289,0.926568675,0.939985342,0.962708759,0.959788001,0.94864786,0.929431524,0.868349405
IL18,0.934745757,0.941961016,0.927530498,0.923580507,0.918396569,0.958975699,0.92294736,0.943326841,0.941247565
ABHD14B,0.934473519,0.889889092,0.979057947,0.888192781,0.987176895,0.859885721,0.983788571,0.921588773,0.966208375
POLD3,0.934093382,0.904663441,0.963523323,0.893344146,0.944474379,0.92035098,0.97407895,0.900295197,0.97201664
CEBPA,0.93392633,0.939661869,0.92819079,0.986690328,0.960962683,0.964865397,0.963077247,0.867429882,0.860532441
RNF103-CHMP3,0.933915585,0.914661925,0.953169244,0.839067176,0.955265033,0.980396854,0.933947027,0.924521746,0.970295672
PBXIP1,0.933884934,0.936950124,0.930819744,0.939660964,0.913327995,0.930718857,0.940370795,0.940470552,0.938760442
FAM160A1,0.933046619,0.937852456,0.928240782,0.837900637,0.918636799,0.982907729,0.935770465,0.992749001,0.930315081
WNK4,0.932940981,0.903570419,0.962311543,0.775400213,0.961407854,0.956655515,0.983120814,0.978655528,0.942405961
ADAM33,0.932823015,0.978294958,0.887351072,0.964428369,0.839985342,0.985641868,0.850913755,0.984814636,0.97115412
CCDC138,0.931572102,0.940233263,0.922910941,0.906917799,0.91148827,0.977427914,0.931306537,0.936354074,0.925938015
SYNC,0.930876861,0.881600264,0.980153457,0.815245082,0.97935518,0.870461254,0.986332019,0.959094456,0.974773173
HDHD3,0.929956885,0.924501614,0.935412157,0.927179202,0.877693253,0.950100774,0.941540048,0.896224866,0.987003169
PRR19,0.92952031,0.902083574,0.956957046,0.908777204,0.957718226,0.867440061,0.95554598,0.930033456,0.957606933
ARL17B,0.929454597,0.86885814,0.990051054,0.89957858,0.98794848,0.745108884,0.9956399,0.961886956,0.986564784
RGS5,0.929429036,0.912035912,0.94682216,0.823829559,0.918333458,0.963444377,0.953814155,0.9488338,0.968318868
P2RY2,0.928827557,0.901060901,0.956594213,0.969199031,0.95986197,0.917193385,0.968541453,0.816790288,0.941379217
RYR3,0.928727009,0.914923192,0.942530826,0.853886766,0.924873947,0.936129453,0.955236531,0.954753357,0.947482
P2RY14,0.92796549,0.895429755,0.960501225,0.846996112,0.936704239,0.911207324,0.966124227,0.928085831,0.978675208
TNKS1BP1,0.927817213,0.903590551,0.952043875,0.903030694,0.926646489,0.916365475,0.955807246,0.891375484,0.973677889
SPDYE2,0.927304293,0.943618193,0.910990393,0.945551341,0.90990574,0.949548382,0.919695438,0.935754857,0.903370001
HTR1F,0.927096637,0.890052864,0.96414041,0.916885972,0.969327289,0.875266526,0.969080273,0.878006094,0.954013667
MSRB3,0.925896281,0.909034625,0.942757936,0.881312305,0.94741821,0.924555677,0.961764127,0.921235893,0.91909147
PRRT4,0.925855677,0.879955302,0.971756052,0.846826458,0.95797067,0.955841856,0.974128489,0.837197592,0.983168995
RWDD2B,0.925672564,0.873290173,0.978054954,0.859205071,0.987370978,0.871165657,0.986405309,0.889499793,0.960388575
TGFBI,0.925514673,0.927047324,0.923982021,0.921391975,0.919012751,0.961107228,0.912548266,0.89864277,0.940385046
LRRC37A,0.925140191,0.862850363,0.987430018,0.902720567,0.984928644,0.716529021,0.986127077,0.969301502,0.991234332
PMM2,0.924755077,0.932571249,0.916938904,0.924461349,0.959789358,0.931799211,0.962456314,0.941453186,0.828571041
RGS6,0.9236754,0.903861997,0.943488804,0.916087921,0.925551205,0.91837146,0.941273353,0.877126609,0.963641854
DACT1,0.923468649,0.926377984,0.920559314,0.900983991,0.832093052,0.973888259,0.943970168,0.904261701,0.985614723
SSC5D,0.9234242,0.889758571,0.957089828,0.83383777,0.932372641,0.923640226,0.960531763,0.911797718,0.978365081
LMO3,0.923375679,0.875188711,0.971562646,0.882600995,0.953675717,0.943449671,0.978002701,0.799515469,0.983009521
AMOT,0.923150379,0.87709494,0.969205817,0.810863945,0.957285948,0.905946023,0.972161185,0.914474854,0.978170319
MACROD1,0.922578306,0.885312061,0.959844552,0.93875162,0.974254711,0.814208837,0.976222016,0.902975726,0.929056929
SNAI2,0.922022295,0.97459153,0.869453059,0.963441663,0.832944713,0.99280804,0.834198793,0.967524888,0.941215671
PCDHGA10,0.920880752,0.911681902,0.930079602,0.862393203,0.879203849,0.929654789,0.924984562,0.942997713,0.986050394
PTPN21,0.920408096,0.870870459,0.969945733,0.895445816,0.980180376,0.78735537,0.980523076,0.929810191,0.949133748
CD180,0.920394298,0.931915028,0.908873567,0.905511031,0.869949579,0.989184237,0.933938884,0.901049817,0.922732239
PPP3R2,0.92033096,0.925094723,0.915567198,0.870959358,0.823914386,0.970822278,0.92743979,0.933502535,0.995347417
HLA-DOA,0.919708444,0.875376688,0.964040201,0.940198427,0.961681336,0.973748465,0.967648396,0.712183172,0.962790871
PLCD3,0.919600318,0.922933561,0.916267076,0.861386817,0.878162175,0.963283546,0.927874103,0.944130321,0.942764948
TFR2,0.919310776,0.885216376,0.953405176,0.818961855,0.95615334,0.9203313,0.957049111,0.916355974,0.947013077
FSCN3,0.918967849,0.855119357,0.982816342,0.91081237,0.992546095,0.850827571,0.992552881,0.803718131,0.96335005
SLC2A9,0.918953825,0.870268754,0.967638895,0.935893295,0.954105959,0.940135316,0.968692784,0.734777652,0.980117943
ALOX15B,0.918810524,0.921081622,0.916539426,0.926687206,0.888817107,0.945362007,0.907722637,0.891195651,0.953078536
BHMT2,0.918529351,0.897738177,0.939320526,0.898465652,0.89439532,0.818425071,0.938493747,0.976323808,0.98507251
EEF2K,0.917209219,0.900166713,0.934251725,0.839503525,0.941649984,0.94318026,0.949062494,0.917816353,0.912042698
KANSL1,0.916993646,0.90139116,0.932596131,0.962587965,0.942050367,0.795632435,0.937259346,0.945953081,0.918478681
GGA2,0.916804991,0.902298468,0.931311514,0.930055171,0.917007444,0.880740912,0.941657449,0.896099322,0.935269648
DAAM1,0.916702746,0.86776263,0.965642863,0.882715681,0.950116382,0.89828514,0.964522696,0.822287068,0.982289511
CCDC3,0.916627759,0.91146565,0.921789869,0.946999505,0.93055056,0.921130708,0.938223658,0.866266736,0.896595389
RERGL,0.916620634,0.885131549,0.948109718,0.843498531,0.967757653,0.891081644,0.975544758,0.920814473,0.901026744
OLR1,0.916471112,0.898784827,0.934157398,0.799290848,0.911343047,0.936618734,0.936569195,0.9604449,0.954559952
TRAF5,0.916469642,0.882531098,0.950408187,0.895186585,0.914620077,0.953197294,0.949183287,0.799209414,0.987421196
LRRC63,0.916377011,0.911653174,0.921100849,0.912058307,0.933330166,0.928191016,0.947405995,0.894710198,0.882566385
SNX7,0.916074462,0.873887807,0.958261117,0.828200517,0.981259373,0.825615673,0.98214293,0.96784723,0.911381049
PIFO,0.915816702,0.910586617,0.921046786,0.953388663,0.909685191,0.917124845,0.920152824,0.861246344,0.933302343
FAM186B,0.915722035,0.855150573,0.976293496,0.732447289,0.961544256,0.860763849,0.970284815,0.972240583,0.997051419
NINJ2,0.915465858,0.866012934,0.964918781,0.718927924,0.954625778,0.918889243,0.975417178,0.960221636,0.964713387
TNFAIP8,0.914615214,0.913452634,0.915777794,0.875972964,0.902852218,0.917209672,0.917211029,0.947175266,0.927270136
CD69,0.913969512,0.833638258,0.994300767,0.568005347,0.992927476,0.977195149,0.996230295,0.955714276,0.993744529
FAM155B,0.913899841,0.870727498,0.957072184,0.723599509,0.941425363,0.925861332,0.958918695,0.962721653,0.970872495
THBD,0.913893394,0.920360706,0.907426082,0.937562687,0.928783447,0.943483601,0.920004207,0.880035831,0.873490591
ANTXR1,0.913306505,0.898699548,0.927913463,0.87691081,0.920838904,0.936729348,0.939244973,0.882458486,0.923656512
CBS,0.912112596,0.861597414,0.962627778,0.828746123,0.943583358,0.811937513,0.981390346,0.944108606,0.962909629
ABT1,0.912018042,0.91231799,0.911718094,0.879813245,0.889314531,0.934261905,0.903800922,0.92287882,0.94203883
ERBB3,0.911990784,0.868132927,0.955848642,0.732380106,0.938551429,0.909302452,0.957097293,0.962716224,0.971897203
FIGN,0.911084155,0.898953576,0.923214734,0.835076242,0.889071587,0.922871355,0.913701233,0.938913131,0.966871382
DNAJC5G,0.910792916,0.878549438,0.943036394,0.860830353,0.966245699,0.897004594,0.958366303,0.877813367,0.90449718
ARMC3,0.910736365,0.873376584,0.948096146,0.7527338,0.922149309,0.934426808,0.949734322,0.932969143,0.972404807
SULT1A4,0.910603809,0.829739163,0.991468455,0.801673464,0.985761304,0.759756784,0.997505412,0.927787241,0.991138648
TTLL5,0.910369347,0.949061363,0.871677332,0.949767574,0.91674007,0.969457583,0.910195509,0.92795893,0.788096418
POC1B,0.910080258,0.873369345,0.94679117,0.898360467,0.956825847,0.840167889,0.972719685,0.88157968,0.910827978
COX7A2L,0.910006854,0.911489401,0.908524307,0.856379997,0.872335589,0.930685605,0.909438853,0.947402602,0.943798479
TK2,0.909910151,0.894260502,0.925559801,0.974087772,0.951873995,0.865982397,0.929997489,0.842711338,0.894807918
TCEA3,0.909892394,0.884170631,0.935614158,0.838279983,0.902808108,0.880265881,0.957817982,0.933966029,0.946216383
TATDN2,0.909709168,0.856161936,0.963256401,0.764598701,0.941643877,0.898732348,0.971842914,0.905154758,0.976282412
ATP6AP1L,0.9096024,0.836328739,0.98287606,0.911399372,0.983342042,0.759889114,0.986707293,0.837697731,0.978578845
EIF3L,0.909316363,0.942940936,0.875691791,0.932200951,0.777992522,0.954529415,0.885924172,0.942092441,0.963158681
SPATA9,0.90926886,0.870685876,0.947851845,0.719789765,0.923781377,0.989659268,0.927350213,0.902608595,0.992423944
EEF1A1,0.909178605,0.892298627,0.926058583,0.870448361,0.905270801,0.890956779,0.93766923,0.91549074,0.935235717
FAM107A,0.908957263,0.839287047,0.978627479,0.887711643,0.970682483,0.810033999,0.980649977,0.8201155,0.984549977
MMD2,0.908865763,0.859136531,0.958594996,0.767767832,0.94321962,0.843436777,0.962008428,0.966204982,0.970556939
KLHL6,0.908373089,0.932405441,0.884340737,0.920165718,0.872400736,0.96976296,0.875969571,0.907287644,0.904651905
ANKHD1-EIF4EBP3,0.908221645,0.880334421,0.936108868,0.811164571,0.952971315,0.91331103,0.951669053,0.916527664,0.903686236
C4A,0.908036609,0.986178878,0.82989434,0.982828331,0.937890458,0.986821979,0.921134101,0.988886325,0.63065846
CMTM3,0.907846597,0.864337434,0.951355759,0.8960905,0.938704796,0.851884853,0.959199642,0.845036951,0.95616284
C14orf178,0.907575377,0.923488894,0.89166186,0.892187108,0.822739025,0.944555813,0.857510569,0.933723763,0.994735985
C3AR1,0.907536922,0.90555695,0.909516894,0.844145251,0.940336864,0.896978128,0.940706031,0.975547472,0.847507787
DDAH2,0.907390681,0.90079217,0.913989192,0.939351516,0.894936855,0.91664235,0.893583697,0.846382644,0.953447024
KITLG,0.906794518,0.908286792,0.905302244,0.899738055,0.895719298,0.893096452,0.895013538,0.932025869,0.925173895
SLC25A24,0.906694083,0.852377301,0.961010865,0.753896267,0.959066633,0.864276359,0.969139313,0.938959276,0.954826648
CLN6,0.906650538,0.861570043,0.951731033,0.802757891,0.932249812,0.899077084,0.959377439,0.882875155,0.963565849
LONRF3,0.906563902,0.854836148,0.958291655,0.854785931,0.940480731,0.887343834,0.973159427,0.822378681,0.961234808
C3orf67,0.906534495,0.902543901,0.91052509,0.864730352,0.815899945,0.930777896,0.920320442,0.912123454,0.995354882
RPUSD1,0.905451087,0.870425514,0.940476659,0.814456531,0.909975638,0.902350043,0.948757117,0.894469968,0.962697222
CCDC85C,0.905420888,0.854556785,0.956284991,0.793298679,0.958393447,0.804957281,0.970876567,0.965414396,0.939584959
GPR34,0.905399625,0.852923586,0.957875664,0.847862024,0.931960043,0.819204799,0.960707524,0.891703934,0.980959426
APOBR,0.905232007,0.940928843,0.869535171,0.971938599,0.803906785,0.971858522,0.829268657,0.878989407,0.975430072
