,gene,all-related_score,abeta-related_score,tau-related_score,CERAD_score,BRAAK_score,PLAQUES_score,TANGLES_score,ABETA_IHC_score,TAU_IHC_score
1901,CMPK2,0.7306893991318253,0.7072161297692485,0.7541626684944024,0.8283831391363948,0.6656936257710762,0.6288642906100068,0.7037827278958189,0.6644009595613436,0.8930116518163119
1902,IGIP,0.7306649531642676,0.6006106922549689,0.8607192140735664,0.5960376970527758,0.9063899931459908,0.512852638793694,0.903148046607265,0.6929417409184367,0.7726196024674435
1903,MCF2,0.7304822938085445,0.6793328763993601,0.781631711217729,0.6939143248800549,0.8527909527073337,0.6241898560657986,0.8358005483207677,0.719894448252227,0.6563036326250854
1904,KCNH8,0.7304693854238063,0.6898901073794838,0.7710486634681288,0.6911124057573683,0.7513591501028101,0.7605202193283074,0.7831836874571627,0.6180376970527754,0.7786031528444138
1905,SPAG7,0.7304047292666209,0.728663239661869,0.7321462188713729,0.7014132967786157,0.6505243317340645,0.7307840986977381,0.6486004112405755,0.753792323509253,0.8973139136394789
1906,SFXN5,0.7302871830020562,0.7805236463331049,0.6800507196710076,0.6827532556545579,0.6704174091843729,0.8636997943797122,0.6798574366004111,0.7951178889650447,0.6898773132282388
1907,GALNT4,0.7301969385423805,0.6837189856065797,0.7766748914781814,0.9005956134338586,0.6640020562028787,0.6619650445510622,0.7449362577107606,0.4885962988348186,0.9210863605209048
1908,DNAH14,0.7301848297920953,0.5794121544436831,0.8809575051405073,0.4131631254283756,0.9042590815627144,0.44423577793008895,0.9496038382453742,0.8808375599725845,0.7890095956134338
1909,C6orf1,0.7300412382910668,0.5999700708247658,0.8601124057573679,0.6959780671692941,0.81976559287183,0.5133008910212474,0.8744496230294719,0.5906312542837561,0.8861220013708021
1910,CPNE6,0.7299744116975098,0.7412938085446655,0.7186550148503539,0.8045311857436601,0.6171082933516105,0.8182625085675125,0.6338567511994517,0.6010877313228239,0.9049999999999996
1911,WDR43,0.7299286040667123,0.7154681288553802,0.7443890792780445,0.6747594242631939,0.7666586703221384,0.7234167237834133,0.7555106237148738,0.7482282385195336,0.7109979437971212
1912,CTXN2,0.7298129997715331,0.6138537811286271,0.8457722184144392,0.6414530500342701,0.7804633310486639,0.6003358464701853,0.8705839616175463,0.5997724468814256,0.8862693625771075
1913,PTEN,0.7298064884624171,0.8059734978295635,0.6536394790952706,0.6716751199451679,0.6262337217272103,0.8740383824537351,0.6061686086360524,0.8722069910897876,0.7285161069225494
1914,EFCC1,0.7297419465387253,0.7377103038610923,0.7217735892163583,0.5730575736806033,0.8308930774503085,0.7798142563399593,0.7422659355723097,0.8602590815627145,0.5921617546264567
1915,TOX,0.7296246287411469,0.6211395933287639,0.8381096641535297,0.644876627827279,0.7830376970527759,0.7173008910212475,0.8260692254969156,0.5012412611377652,0.9052220699108976
